bhk_count,area_sqft,log_area,floor_number,total_floors,floor_ratio,is_ground_floor,is_top_floor,furnishing_encoded,transaction_encoded,is_owner_listing,price_inr,log_price,price_per_sqft,price_cr,price_to_locality_median_ratio,locality_mean_price_sqft,locality_median_price_sqft,locality_listing_count,locality_price_rank,dist_nearest_metro_km,dist_nearest_hospital_km,dist_nearest_school_km,dist_nearest_mall_km,dist_nearest_it_hub_km,dist_nearest_airport_km,metro_count_2km,hospital_count_3km,school_count_2km,metro_accessibility_score,livability_index,score_healthcare,score_education,score_metro,score_commercial,score_employment,builder_reputation_score,builder_listing_count,builder_avg_price_sqft,builder_price_premium_pct,infrastructure_impact_score,impact_metro_extension,impact_highway,impact_it_sez,impact_urban_development,city,locality,property_type_clean,builder_tier,livability_band,appreciation_potential_band,area_bin,type_apartment,type_builder_floor,type_penthouse,type_studio,type_villa
2,976.0,6.884486652042782,2.0,8.0,0.25,0,0,0,0,0,9420000.0,16.058345752709652,9651.64,0.942,1.039,9285.011128988448,9290.982232651693,25,0.312,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.86,31,10995.311570656313,18.34,26.87,44.85,11.79,35.12,0.15,Gurgaon,Sohna Road,apartment,Tier 1,Poor,Low,Standard,1,0,0,0,0
3,1728.0,7.455298485683291,2.0,8.0,0.25,0,0,1,1,0,14364000.0,16.480235703946597,8312.5,1.436,0.817,10059.458033808372,10171.232876712329,37,0.448,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.75,40,11155.323746176988,9.68,23.76,60.8,1.85,6.3,2.67,Gurgaon,Sector 15,apartment,Tier 2,Poor,Low,Large,1,0,0,0,0
3,1367.0,7.221105098182496,1.0,10.0,0.1,0,0,2,0,0,13481000.0,16.416791918851672,9861.74,1.348,0.929,10711.540784294795,10613.787837331445,34,0.593,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.74,47,12174.359670335367,14.7,29.55,16.47,39.11,21.09,53.45,Gurgaon,Udyog Vihar,villa,Tier 2,Poor,Low,Large,0,0,0,0,1
3,1756.0,7.471363088187097,2.0,8.0,0.25,0,0,2,0,0,17148000.0,16.657392165015843,9765.38,1.715,0.988,10099.081475266092,9882.075471698114,37,0.522,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.89,41,10665.515724471146,7.93,28.84,14.98,36.08,21.73,54.75,Gurgaon,Sector 57,apartment,Tier 1,Poor,Low,Large,1,0,0,0,0
3,1558.0,7.351799869057777,1.0,10.0,0.1,0,0,0,0,0,16607000.0,16.62533491140446,10659.18,1.661,1.004,10711.540784294795,10613.787837331445,34,0.593,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.61,31,10995.311570656313,3.59,58.0,90.0,14.41,64.6,37.36,Gurgaon,Udyog Vihar,apartment,Tier 1,Poor,Medium,Large,1,0,0,0,0
1,546.0,6.304448802421981,2.0,8.0,0.25,0,0,0,0,0,3780000.0,15.145234832146,6923.08,0.378,0.875,7933.282542532392,7915.270748323147,34,0.093,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75,42,10981.949143260465,38.74,42.72,74.8,15.21,52.8,1.51,Gurgaon,Palam Vihar,builder_floor,Tier 2,Poor,Medium,Compact,0,1,0,0,0
2,1098.0,7.002155954403621,,,,0,1,0,0,0,8093000.0,15.906510172041404,7370.67,0.809,0.864,8453.477181692593,8528.122020972354,35,0.162,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42,55,10810.06286830001,26.76,16.3,32.72,3.85,15.69,0.79,Gurgaon,Ardee City,villa,Tier 2,Poor,Low,Standard,0,0,0,0,1
3,1753.0,7.469654172932128,7.0,12.0,0.5833333333333334,0,0,0,0,1,21576000.0,16.887092190149495,12308.04,2.158,0.947,13095.196359171217,13003.051470588234,38,0.787,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.15,46,11646.705001117241,-10.43,43.79,47.56,21.21,50.63,51.2,Gurgaon,MG Road,apartment,Individual,Poor,Medium,Large,1,0,0,0,0
1,546.0,6.304448802421981,2.0,8.0,0.25,0,0,2,0,0,10387000.0,16.156065678484133,19023.81,1.039,1.189,16255.085463756648,15999.668115957773,30,0.855,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.29,43,11223.359681792177,-29.85,52.89,73.82,62.24,56.43,2.47,Gurgaon,Cyber City,villa,Tier 2,Poor,Medium,Compact,0,0,0,0,1
2,1084.0,6.98933526597456,3.0,15.0,0.2,0,0,1,0,0,10997000.0,16.21313315722696,10144.83,1.1,0.956,10711.540784294795,10613.787837331445,34,0.593,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.74,37,10965.891705343245,3.32,41.83,48.0,41.22,26.18,51.2,Gurgaon,Udyog Vihar,villa,Tier 2,Poor,Medium,Standard,0,0,0,0,1
1,460.0,6.133398042996649,2.0,8.0,0.25,0,0,0,1,0,3983000.0,15.197546113230784,8658.7,0.398,1.011,8625.563963628789,8562.819783968163,45,0.242,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42,55,10810.06286830001,26.24,23.49,60.8,1.88,6.34,1.23,Gurgaon,South City,apartment,Tier 2,Poor,Low,Micro,1,0,0,0,0
1,528.0,6.270988431858299,2.0,8.0,0.25,0,0,1,0,0,7757000.0,15.864106348388818,14691.29,0.776,0.918,16255.085463756648,15999.668115957773,30,0.855,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.17,35,11530.874778105072,-27.93,26.06,59.78,5.02,14.66,2.35,Gurgaon,Cyber City,studio,Tier 1,Poor,Low,Compact,0,0,0,1,0
2,945.0,6.852242569051878,,,,0,1,1,1,0,8244000.0,15.924996342292818,8723.81,0.824,1.023,8453.477181692593,8528.122020972354,35,0.162,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.99,47,12174.359670335367,42.76,29.07,55.8,9.0,29.57,1.76,Gurgaon,Ardee City,villa,Tier 2,Poor,Low,Standard,0,0,0,0,1
2,1121.0,7.022868086082641,10.0,14.0,0.7142857142857143,0,0,1,1,0,17011000.0,16.64937081037721,15174.84,1.701,0.948,16255.085463756648,15999.668115957773,30,0.855,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.02,47,10937.253284940389,-31.64,30.59,24.52,80.0,23.22,1.03,Gurgaon,Cyber City,villa,Tier 2,Poor,Low,Standard,0,0,0,0,1
3,1580.0,7.365812837209472,5.0,20.0,0.25,0,0,1,1,0,10934000.0,16.207387849894914,6920.25,1.093,0.952,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42,55,10810.06286830001,48.75,50.37,73.43,24.98,40.84,47.33,Gurgaon,New Gurgaon Sector 82,builder_floor,Tier 2,Poor,Medium,Large,0,1,0,0,0
3,1656.0,7.4127640174265625,,,,0,1,1,1,0,18778000.0,16.748196583054437,11339.37,1.878,0.981,11543.026856483424,11557.515845236969,30,0.657,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.29,43,11223.359681792177,-2.89,53.01,90.0,14.45,64.6,12.37,Gurgaon,Sector 56,apartment,Tier 2,Poor,Medium,Large,1,0,0,0,0
4,1825.0,7.509883061154913,3.0,15.0,0.2,0,0,2,0,0,11661000.0,16.271760584258406,6389.59,1.166,0.879,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52,47,10937.253284940389,50.5,19.39,23.84,5.83,33.53,7.48,Gurgaon,New Gurgaon Sector 82,apartment,Tier 2,Poor,Low,XLarge,1,0,0,0,0
2,925.0,6.8308742346461795,5.0,20.0,0.25,0,0,1,1,0,12626000.0,16.351268817111354,13649.73,1.263,0.853,16255.085463756648,15999.668115957773,30,0.855,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.89,41,10665.515724471146,-33.34,13.95,34.83,2.54,2.87,2.67,Gurgaon,Cyber City,apartment,Tier 1,Poor,Low,Standard,1,0,0,0,0
2,1115.0,7.017506142941256,0.0,,,1,0,1,0,0,18597000.0,16.738510889124278,16678.92,1.86,0.921,18218.23667565825,18114.83870967742,31,0.97,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,42,10981.949143260465,-39.38,48.34,74.8,22.33,70.0,0.98,Gurgaon,Golf Course Road,apartment,Tier 2,Poor,Medium,Standard,1,0,0,0,0
2,922.0,6.827629234502852,0.0,,,1,0,1,0,1,7157000.0,15.783601596444072,7762.47,0.716,0.835,9285.011128988448,9290.982232651693,25,0.312,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65,46,11646.705001117241,25.35,18.07,48.73,0.88,2.46,1.12,Gurgaon,Sohna Road,apartment,Individual,Poor,Low,Standard,1,0,0,0,0
3,1382.0,7.232010331664759,10.0,14.0,0.7142857142857143,0,0,2,0,0,19632000.0,16.792671496870074,14205.5,1.963,0.888,16255.085463756648,15999.668115957773,30,0.855,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.17,35,11530.874778105072,-27.93,10.8,28.48,1.05,1.6,1.13,Gurgaon,Cyber City,penthouse,Tier 1,Poor,Low,Large,0,0,1,0,0
3,1355.0,7.212294468500341,3.0,15.0,0.2,0,0,0,1,0,9847000.0,16.102677499783706,7267.16,0.985,1.0,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.67,35,11530.874778105072,58.67,14.5,12.25,32.18,14.9,0.25,Gurgaon,New Gurgaon Sector 82,villa,Tier 1,Poor,Low,Large,0,0,0,0,1
1,593.0,6.386879319362645,,,,0,1,2,0,0,6040000.0,15.613914735473898,10185.5,0.604,1.049,9575.35052908125,9705.902899056933,37,0.374,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.99,47,12174.359670335367,25.43,14.46,18.21,16.41,19.14,0.12,Gurgaon,Nirvana Country,builder_floor,Tier 2,Poor,Low,Compact,0,1,0,0,0
4,2243.0,7.716015266642587,1.0,10.0,0.1,0,0,1,0,0,19312000.0,16.776237274100723,8609.9,1.931,1.01,8453.477181692593,8528.122020972354,35,0.162,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.74,36,11000.572715809956,28.99,29.61,50.96,11.45,37.81,0.17,Gurgaon,Ardee City,penthouse,Tier 1,Poor,Low,XLarge,0,0,1,0,0
1,503.0,6.222576268071369,3.0,15.0,0.2,0,0,0,0,0,9320000.0,16.047673293957907,18528.83,0.932,1.023,18218.23667565825,18114.83870967742,31,0.97,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.75,40,11155.323746176988,-38.42,24.81,60.8,3.22,9.44,2.62,Gurgaon,Golf Course Road,villa,Tier 2,Poor,Low,Compact,0,0,0,0,1
3,1483.0,7.302496423727326,7.0,12.0,0.5833333333333334,0,0,1,0,0,10600000.0,16.176364653421913,7147.67,1.06,0.984,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.39,41,10665.515724471146,46.76,37.86,26.46,70.0,17.42,51.2,Gurgaon,New Gurgaon Sector 82,apartment,Tier 1,Poor,Medium,Large,1,0,0,0,0
3,1507.0,7.318539548567902,5.0,20.0,0.25,0,0,2,0,0,18615000.0,16.73947831900907,12352.36,1.862,1.164,10711.540784294795,10613.787837331445,34,0.593,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.17,35,11530.874778105072,8.64,46.79,55.2,80.0,44.07,2.27,Gurgaon,Udyog Vihar,apartment,Tier 1,Poor,Medium,Large,1,0,0,0,0
4,2265.0,7.725771441587952,5.0,20.0,0.25,0,0,0,0,0,26877000.0,17.106781497454357,11866.23,2.688,1.01,11919.75221255961,11750.0,31,0.718,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75,40,11155.323746176988,-5.06,41.39,53.64,6.38,64.6,25.96,Gurgaon,Sector 48,apartment,Tier 2,Poor,Medium,XLarge,1,0,0,0,0
3,1648.0,7.407924322559599,2.0,8.0,0.25,0,0,1,1,0,13782000.0,16.438874023457696,8362.86,1.378,0.822,10059.458033808372,10171.232876712329,37,0.448,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42,35,11530.874778105072,13.37,18.2,48.54,1.29,2.62,1.51,Gurgaon,Sector 15,builder_floor,Tier 1,Poor,Low,Large,0,1,0,0,0
4,1911.0,7.555905093611346,0.0,,,1,0,0,0,0,20372000.0,16.829672016073612,10660.39,2.037,1.079,10099.081475266092,9882.075471698114,37,0.522,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.27,47,10937.253284940389,10.68,51.49,90.0,24.77,56.22,4.9,Gurgaon,Sector 57,apartment,Tier 2,Poor,Medium,XLarge,1,0,0,0,0
2,952.0,6.859614903654202,10.0,14.0,0.7142857142857143,0,0,0,1,0,11015000.0,16.21476862900387,11570.38,1.102,0.89,13095.196359171217,13003.051470588234,38,0.787,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,42,10981.949143260465,-15.54,38.01,19.4,70.0,23.28,57.0,Gurgaon,MG Road,builder_floor,Tier 2,Poor,Medium,Standard,0,1,0,0,0
4,1859.0,7.528331766707247,5.0,20.0,0.25,0,0,1,0,0,13536000.0,16.420863434705208,7281.33,1.354,1.002,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.25,40,11155.323746176988,53.5,22.15,23.71,34.56,27.55,0.24,Gurgaon,New Gurgaon Sector 82,apartment,Tier 2,Poor,Low,XLarge,1,0,0,0,0
1,549.0,6.309918278226516,3.0,15.0,0.2,0,0,1,1,0,4796000.0,15.38329300363661,8735.88,0.48,1.02,8625.563963628789,8562.819783968163,45,0.242,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79,43,11223.359681792177,31.07,38.83,78.21,6.63,30.34,12.73,Gurgaon,South City,builder_floor,Tier 2,Poor,Medium,Compact,0,1,0,0,0
4,2259.0,7.723120092266331,5.0,20.0,0.25,0,0,2,1,0,26109000.0,17.07779067874073,11557.77,2.611,1.17,10099.081475266092,9882.075471698114,37,0.522,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.49,36,11000.572715809956,11.32,45.65,60.09,46.19,58.84,3.36,Gurgaon,Sector 57,villa,Tier 1,Poor,Medium,XLarge,0,0,0,0,1
3,1469.0,7.293017679772782,10.0,14.0,0.7142857142857143,0,0,2,0,0,12322000.0,16.326896921712308,8388.02,1.232,0.984,8453.477181692593,8528.122020972354,35,0.162,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75,42,10981.949143260465,28.77,39.64,40.82,17.38,46.54,51.2,Gurgaon,Ardee City,builder_floor,Tier 2,Poor,Medium,Large,0,1,0,0,0
4,1813.0,7.503289630675082,10.0,14.0,0.7142857142857143,0,0,1,0,0,17876000.0,16.698969644976405,9859.9,1.788,1.016,9575.35052908125,9705.902899056933,37,0.374,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.54,43,11223.359681792177,15.63,46.61,82.97,25.83,47.12,3.13,Gurgaon,Nirvana Country,studio,Tier 2,Poor,Medium,XLarge,0,0,0,1,0
3,1387.0,7.23561914106675,10.0,14.0,0.7142857142857143,0,0,1,1,1,28235000.0,17.15607293650611,20356.89,2.824,1.222,17055.57986586986,16661.004431314625,27,0.912,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.15,46,11646.705001117241,-30.1,56.45,90.0,39.01,64.6,5.0,Gurgaon,DLF Phase 5,villa,Individual,Poor,Medium,Large,0,0,0,0,1
3,1786.0,7.488293515159428,3.0,15.0,0.2,0,0,1,0,0,11999000.0,16.3003339542868,6718.37,1.2,0.924,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.39,41,10665.515724471146,46.76,25.36,60.8,3.59,9.42,5.05,Gurgaon,New Gurgaon Sector 82,penthouse,Tier 1,Poor,Low,Large,0,0,1,0,0
3,1483.0,7.302496423727326,1.0,10.0,0.1,0,0,2,0,0,16837000.0,16.63908946303294,11353.34,1.684,0.966,11919.75221255961,11750.0,31,0.718,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.89,41,10665.515724471146,-9.23,11.6,9.33,27.2,11.41,0.23,Gurgaon,Sector 48,studio,Tier 1,Poor,Low,Large,0,0,0,1,0
3,1696.0,7.436617265234227,2.0,8.0,0.25,0,0,2,1,0,16760000.0,16.63450571268408,9882.08,1.676,1.0,10099.081475266092,9882.075471698114,37,0.522,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.99,37,10965.891705343245,10.97,48.14,74.8,22.01,70.0,0.31,Gurgaon,Sector 57,villa,Tier 2,Poor,Medium,Large,0,0,0,0,1
1,544.0,6.300785794663244,0.0,,,1,0,1,0,0,7051000.0,15.768680150525022,12961.4,0.705,0.997,13095.196359171217,13003.051470588234,38,0.787,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.74,37,10965.891705343245,-15.67,15.41,12.84,34.73,15.68,0.27,Gurgaon,MG Road,builder_floor,Tier 2,Poor,Low,Compact,0,1,0,0,0
1,507.0,6.230481447578482,5.0,20.0,0.25,0,0,2,1,0,8067000.0,15.903292347880923,15911.24,0.807,0.994,16255.085463756648,15999.668115957773,30,0.855,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.75,40,11155.323746176988,-30.28,21.57,17.65,49.41,21.74,0.36,Gurgaon,Cyber City,apartment,Tier 2,Poor,Low,Compact,1,0,0,0,0
2,962.0,6.870053411798126,3.0,15.0,0.2,0,0,0,0,0,8422000.0,15.946358006440645,8754.68,0.842,1.205,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52,47,10937.253284940389,50.5,46.45,74.8,14.81,68.64,0.75,Gurgaon,New Gurgaon Sector 82,apartment,Tier 2,Poor,Medium,Standard,1,0,0,0,0
2,936.0,6.842683282238422,,,,0,1,2,0,0,11330000.0,16.242964721265437,12104.7,1.133,1.047,11543.026856483424,11557.515845236969,30,0.657,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.89,41,10665.515724471146,-7.72,11.37,8.15,30.95,8.96,0.42,Gurgaon,Sector 56,builder_floor,Tier 1,Poor,Low,Standard,0,1,0,0,0
4,2169.0,7.682482446534506,0.0,,,1,0,1,1,0,20746000.0,16.847864063175972,9564.78,2.075,0.985,9575.35052908125,9705.902899056933,37,0.374,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.99,47,12174.359670335367,25.43,37.96,14.97,70.0,29.28,57.0,Gurgaon,Nirvana Country,apartment,Tier 2,Poor,Medium,XLarge,1,0,0,0,0
2,1132.0,7.0326242610280065,1.0,10.0,0.1,0,0,0,0,0,8898000.0,16.001337202732923,7860.42,0.89,0.922,8453.477181692593,8528.122020972354,35,0.162,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.25,40,11155.323746176988,30.81,27.47,16.05,33.51,19.65,51.2,Gurgaon,Ardee City,apartment,Tier 2,Poor,Low,Standard,1,0,0,0,0
5,2733.0,7.913521017283895,3.0,15.0,0.2,0,0,2,1,0,29554000.0,17.201729690282082,10813.76,2.955,1.063,10059.458033808372,10171.232876712329,37,0.448,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.74,37,10965.891705343245,7.81,14.49,31.9,5.25,4.7,5.51,Gurgaon,Sector 15,studio,Tier 2,Poor,Low,Luxury,0,0,0,1,0
